,company,job_link,job_location,job_posted,job_title
33,GENCO,http://www.indeed.com/rc/clk?jk=9c5cb552fa75e18d&fccid=4571e61fe88af0b3,"Lebanon, TN 37090",Just posted,1st Shift Research Analyst (EG1)
34,State of Washington,http://www.indeed.com/rc/clk?jk=9f3cab8ee60b16c1&fccid=4bb4a98ffe880354,"Olympia, WA",Just posted,Aquatics Scientist - NRSc1
35,Selby Jennings,http://www.indeed.com/rc/clk?jk=1320174a9bdeee73&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",Just posted,Machine Learning Quant Analyst
36,Aequor Technologies Inc,http://www.indeed.com/rc/clk?jk=7b6fc8aebc14a2e5&fccid=9876511e9b045eba,"Berkeley Heights, NJ 07922",Just posted,Statistical Programmer
37,Gilead Sciences,http://www.indeed.com/rc/clk?jk=dd85475bfa7371c9&fccid=e4b075354d7c2865,"Foster City, CA",Just posted,"Manager, Statistical Programming"
38,Gilead,http://www.indeed.com/rc/clk?jk=0ce2df382de9e116&fccid=0aed3f67f6a631df,"Foster City, CA",Just posted,"Manager, Statistical Programming"
39,Selby Jennings,http://www.indeed.com/rc/clk?jk=cbcda7d4ed205c07&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",Just posted,Quantitative Analyst – Mortgage Modeling
40,Pacific Gas & Electric,http://www.indeed.com/rc/clk?jk=12cda310a14ede59&fccid=0e8f04b45c1591f5,"San Francisco, CA 94111 (Financial District area)",Just posted,Senior Strategic Analyst - Distribution Generation Research & Evaluation
41,Voya Financial,http://www.indeed.com/rc/clk?jk=1a3e1e55e04bf7b5&fccid=4d7e317a90a915fd,"Windsor, CT",Just posted,Sr. Market Research Analyst
42,Streck,http://www.indeed.com/rc/clk?jk=a0a3bf0c456c74be&fccid=0133f7a60e8ad6a2,"Omaha, NE",Just posted,Research and Development Scientist
43,Sikorsky,http://www.indeed.com/rc/clk?jk=6a87e5be64e661d2&fccid=a68cff88bd96c9e9,"New York, NY",Just posted,Software Developer
44,Biogen,http://www.indeed.com/rc/clk?jk=d105993510db34ad&fccid=04233dcb6353e8e1,"Cambridge, MA 02142 (East Cambridge area)",Just posted,Senior Data Engineer
45,FLIR Systems,http://www.indeed.com/rc/clk?jk=133e39a988d82e01&fccid=6210e9249bdccb6e,"West Lafayette, IN",Just posted,Software Engineer
46,"Measured Progress, Inc.",http://www.indeed.com/rc/clk?jk=9b8c95cfa7ad566a&fccid=6a8d5c50a6edc6d2,"Dover, NH 03820",Just posted,Principal Statistical Analyst
47,Washington University in St. Louis,http://www.indeed.com/rc/clk?jk=8e0719aded9d006d&fccid=d9d52566d47ab815,"St. Louis, MO",Just posted,Postdoc Research Associate - Pediatrics Critical Care
48,AIG,http://www.indeed.com/rc/clk?jk=aba6004f592095bf&fccid=9a92a4bf81326e1e,"New York, NY",Just posted,Assistant Director of Predictive Modeling
49,"MacAulay-Brown, Inc.",http://www.indeed.com/rc/clk?jk=b8a38aa6219f65b7&fccid=b253b564901b80b5,"Fairfax, VA",Just posted,Mid-Level Research Analyst
50,College of DuPage,http://www.indeed.com/rc/clk?jk=3b09a102d2f1e377&fccid=255360891a541bb0,"Glen Ellyn, IL 60137",Just posted,"Research Analyst (FT), CFRE40952RP"
51,Tandem Recruiting Group,http://www.indeed.com/cmp/Tandem-Recruiting-Group/jobs/Senior-Machine-Learning-Scientist-4583a12ce4062b18?r=1&fccid=2d68a81d04a3d17b,"Santa Clara, CA",Just posted,Senior Machine Learning Scientist
52,Boston Scientific Corporation,http://www.indeed.com/rc/clk?jk=0f286eb6d96b8650&fccid=d13187a50c252e33,"Arden Hills, MN",Just posted,Senior Scientist - Arden Hills
53,"Riverside Technology, inc.",http://www.indeed.com/rc/clk?jk=bfc1bbb5c2eb9c0d&fccid=a92f470b0241d069,"Silver Spring, MD 20910",Just posted,Scientific/Engineering Program Coordinator
54,SunOpta,http://www.indeed.com/rc/clk?jk=bfa42d1bafa04aef&fccid=ec069c3e514f2a59,"Edina, MN 55439",Just posted,Research and Development Intern
55,Biogen,http://www.indeed.com/rc/clk?jk=07867479423eb1fd&fccid=04233dcb6353e8e1,"Cambridge, MA 02142 (East Cambridge area)",Just posted,"Associate Scientist I, Veterinary Services"
56,BioMarin Pharmaceutical Inc.,http://www.indeed.com/rc/clk?jk=616c4a73512c532c&fccid=eaafcd2f92ab25da,"San Rafael, CA",Just posted,"Vice President, Clinical Sciences"
57,Tandem Recruiting Group,http://www.indeed.com/cmp/Tandem-Recruiting-Group/jobs/Computer-Vision-Machine-Learning-Researcher-f07ec19424f6c4b8?r=1&fccid=2d68a81d04a3d17b,"Santa Clara, CA",Just posted,Computer Vision/Machine Learning Researcher
58,"TalentBurst, Inc.",http://www.indeed.com/rc/clk?jk=fe835fe9cd369fc8&fccid=58d90820bb2739b5,"Carlsbad, CA",Just posted,Scientist I
59,Wyle Laboratories,http://www.indeed.com/rc/clk?jk=cd9c3d903fbc8bc9&fccid=b6d91af060059180,"Moffett Field, CA",Just posted,"Sr. Operations Specialist (Mountain View, CA)"
60,Walmart eCommerce,http://www.indeed.com/rc/clk?jk=c598c9e274e5d889&fccid=8c49e99f20f89e48,"San Bruno, CA 94066",Just posted,"Senior Director, Insights & Analytics"
61,Oak Ridge Associated Universities,http://www.indeed.com/rc/clk?jk=63019d7eed7a6f87&fccid=9ee66ada40315e6d,"Duluth, MN",Just posted,Developing Dose Metrics for Major Ion Effects on Aquatic Organisms
62,Brigham & Women's Hospital(BWH),http://www.indeed.com/rc/clk?jk=e6deaf69242f5fc7&fccid=053c0caee91baa24,"Boston, MA",Just posted,TECHNICAL SPECIALIST / 40 HOURS / DAYS / BWH - CARDIOVASCULAR MEDICINE
63,ProEnlist,http://www.indeed.com/company/ProEnlist/jobs/Quantitative-Finance-Analyst-0cbf0ce7c096487d?r=1&fccid=9d12fc9a538c3ab3,"New York, NY",Just posted,Quantitative Finance Analyst - Wholesale - Market Risk Economic Capital
64,"MacAulay-Brown, Inc.",http://www.indeed.com/rc/clk?jk=4667afae06e2b31b&fccid=b253b564901b80b5,"Springfield, VA",Just posted,Statistician/ Imagery Science Support
65,MACK Technology Partners,http://www.indeed.com/company/Mack-Technology-Partners/jobs/Director-1fc9e64624cc14df?r=1&fccid=b0f5945963ed09ad,"St. Louis, MO",Just posted,"DIrector, Market Advanced Analytics"
66,Boston Scientific Corporation,http://www.indeed.com/rc/clk?jk=f901b96f4b97f03f&fccid=d13187a50c252e33,"Arden Hills, MN",Just posted,Principal Scientist - Arden Hills
67,Pacific Gas & Electric,http://www.indeed.com/rc/clk?jk=151dc9e99b696c9e&fccid=0e8f04b45c1591f5,"Concord, CA 94518",Just posted,Right of Way Agent (Concord)
68,ADP,http://www.indeed.com/rc/clk?jk=44a1e1611fa61d3b&fccid=e996c2d6855fe778,"Alpharetta, GA 30005",Just posted,Design Engineer IV
69,Ball Aerospace,http://www.indeed.com/rc/clk?jk=1434993faed5304a&fccid=82c5e27e77990fa2,"Boulder, CO",Just posted,Process Center Technician II (659262)
70,Boston Scientific Corporation,http://www.indeed.com/rc/clk?jk=2117983a3c5d9982&fccid=d13187a50c252e33,"Maple Grove, MN",Just posted,R&D Technician III
71,Lawrence Livermore National Laboratory,http://www.indeed.com/rc/clk?jk=ce6bdd7ce45f6f1f&fccid=26727f1861532c63,"Livermore, CA 94550",Just posted,Center for Global Security Research Student Intern
72,Selby Jennings,http://www.indeed.com/rc/clk?jk=9b8e04ed9cd388b7&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",Just posted,VP C++ Low Latency Software Developer
73,Washington University in St. Louis,http://www.indeed.com/rc/clk?jk=3f73bdee90a06a64&fccid=d9d52566d47ab815,"St. Louis, MO",Just posted,Postdoc Research Associate/Research Scientist in Lung Imaging
74,Inova Mt. Vernon Hospital,http://www.indeed.com/rc/clk?jk=f7c934cf460852fd&fccid=cf88a8db8976fdca,"Alexandria, VA",Just posted,MEDICAL TECHNOLOGIST 2
75,"MacAulay-Brown, Inc.",http://www.indeed.com/rc/clk?jk=683a49be2884eed2&fccid=b253b564901b80b5,"Springfield, VA",Just posted,Imagery Scientist (Junior and Senior Level)
76,Honeywell,http://www.indeed.com/rc/clk?jk=7fdb69cf869dc5eb&fccid=50208b5bf45ee3b8,"Morris Plains, NJ 07950",Just posted,Analytic Product Assurance Leader
77,GMS Advisors,http://www.indeed.com/rc/clk?jk=b726167bd5081cbf&fccid=2c9b285e5bc81bc2,"New York, NY 10123 (Chelsea area)",Just posted,Desktop Support / Trade Support
78,Amazon Corporate LLC,http://www.indeed.com/rc/clk?jk=7e7a2aae43e106b7&fccid=fe2d21eef233e94a,"Seattle, WA",Just posted,Front-End Web Developer
79,Knowesis Inc.,http://www.indeed.com/rc/clk?jk=d8f4bee587c0bd8c&fccid=35cc53663b9e8521,Texas,Just posted,Predictive Modeling/Data Scientist-Healthcare *DoD Secret Clearance Required
80,Chiltern International,http://www.indeed.com/rc/clk?jk=de40b789c6d3e23e&fccid=aded648506841f8f,United States,Just posted,Principal Statistical Programmer
81,Brigham & Women's Hospital(BWH),http://www.indeed.com/rc/clk?jk=c1f99c0b01d840d0&fccid=053c0caee91baa24,"Boston, MA",Just posted,TECHNICAL RESEARCH ASSISTANT II / 40 HOURS / DAY / BWH - NEUROLOGY
82,HEB,http://www.indeed.com/rc/clk?jk=66452ab8657b75e2&fccid=c629e32155ebd42c,"San Antonio, TX",Just posted,Laboratory Scientist
83,Ball Aerospace,http://www.indeed.com/rc/clk?jk=de32237a7e2adbed&fccid=82c5e27e77990fa2,"Westminster, CO",Just posted,Manufacturing Shops Adhesive Cutting Technician (659695)
84,PacificGMP dba Abzena,http://www.indeed.com/rc/clk?jk=f618860ad62bb87b&fccid=5c19f7deca713177,"San Diego, CA",Just posted,Upstream/Production Scientist
85,"MacAulay-Brown, Inc.",http://www.indeed.com/rc/clk?jk=a8be5a9881d7ed97&fccid=b253b564901b80b5,"Suitland, MD",Just posted,Naval Missile Analyst (Mid Level)
86,CDK Global,http://www.indeed.com/rc/clk?jk=72e8b194c46bc818&fccid=cf4c744760f4998e,"Hoffman, NJ",Just posted,Client Tech Analyst- NLC Team/ Move UP (Virtual/ Work from Home)
87,"MacAulay-Brown, Inc.",http://www.indeed.com/rc/clk?jk=0853556edc95aeb3&fccid=b253b564901b80b5,"Dayton, OH 45430",Just posted,Operations Research Analyst
88,Oak Ridge National Laboratory,http://www.indeed.com/rc/clk?jk=27f6d440ee1dda51&fccid=64e028df9b3fd2c4,"Oak Ridge, TN 37830",Just posted,Safeguards & Security Systems Software Engineer / Scientist
89,Selby Jennings,http://www.indeed.com/rc/clk?jk=ce2b8144bef34f78&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",Just posted,Senior Python Developer - Leading US Bank
90,Summerfield Associates,http://www.indeed.com/rc/clk?jk=8198d4334fe728ae&fccid=7290d9de311af074,"Bartlett, TN",Just posted,Microbiologist Fermentation Scientist
91,ICF,http://www.indeed.com/rc/clk?jk=c40990ad950f6655&fccid=cc35f9c14f8799a9,"Sacramento, CA",Just posted,Landscape Architect
92,Nektar,http://www.indeed.com/rc/clk?jk=738e6acb0ce94f00&fccid=2f3c68225a7a644b,"San Francisco, CA",Just posted,"Director, Biostatistics"
93,Sandia National Laboratories,http://www.indeed.com/rc/clk?jk=3c2825937ac3095a&fccid=6153cf878ee73d92,"Albuquerque, NM",Just posted,Postdoctoral Appointee - Combinatorial Scientific Computing & Graph Algorithms
94,Toyota Financial Services,http://www.indeed.com/cmp/Zigatta/jobs/Hadoop-bb19b6889124b53b?r=1&fccid=9b86eb1a39054379,"Torrance, CA",Just posted,Hadoop / Netezza Consultant
95,"MacAulay-Brown, Inc.",http://www.indeed.com/rc/clk?jk=c5b73514ddf50783&fccid=b253b564901b80b5,"San Antonio, TX 78228 (Third World area)",Just posted,Behavioral Scientist / MISO Officer (Clinical Psychologist) / PSYOP
96,Brigham & Women's Hospital(BWH),http://www.indeed.com/rc/clk?jk=6cb927b6c4d2e82b&fccid=053c0caee91baa24,"Boston, MA",Just posted,TECHNICAL RESEARCH ASSISTANT II / 40 HOURS / DAY / BWH- HEMATOLOGY
97,Staff Icons,http://www.indeed.com/rc/clk?jk=62a87e5dae39f86a&fccid=0750fade3f5c9662,"Memphis, TN 38134 (Berclair-Highland Heights area)",Just posted,"Microbiologist, Fermentation Scientist"
98,Bristol Myers Squibb,http://www.indeed.com/rc/clk?jk=aa5c552574aabcba&fccid=45f7e11d0973ee3a,"Pennington, NJ 08534",Just posted,Compound Management Automation Specialist
99,WSP | Parsons Brinckerhoff,http://www.indeed.com/rc/clk?jk=d07a1aeb38024e42&fccid=a0ecbc8328064f26,"Seattle, WA",Just posted,Lead Traffic Engineer
100,Mount Sinai Health System,http://www.indeed.com/rc/clk?jk=a64f2a4518148672&fccid=c007936ceb766fe5,"New York, NY 10019 (Midtown area)",Just posted,Clinical Research Coordinator I - Pediatrics
101,Shawnee Mission Medical Center - Adventist Health...,http://www.indeed.com/rc/clk?jk=077e7391cdc6e262&fccid=7345c996a8931ebc,"Shawnee Mission, KS 66202",Just posted,Medical Laboratory Scientist Lab FT Evenings
102,The University of Kansas Medical Center,http://www.indeed.com/rc/clk?jk=92b6a3be0848e2fc&fccid=a92eeac00eed758e,"Kansas City, MO",Just posted,"Assistant Professor, Associate Professor or Professor"
103,WEST Inc.,http://www.indeed.com/rc/clk?jk=9ae149c8340ab696&fccid=c17c3a312e4f1a98,"Cheyenne, WY",Just posted,Project Manager/Biologist - WY - KT
104,JPMorgan Chase - Asset Management,http://www.indeed.com/rc/clk?jk=d4f048f3775e4d75&fccid=c46d0116f6e69eae,"New York, NY",Just posted,"Asset Management - Investment Management - Junior Quantitative Equity Analyst - Associate- New York, NY"
105,Aequor Technologies Inc,http://www.indeed.com/rc/clk?jk=2a49031d4fec9927&fccid=9876511e9b045eba,"Summit, NJ 07901",Just posted,Analytical Chemist
106,Career Developers,http://www.indeed.com/rc/clk?jk=8a50f97683871148&fccid=109ec60d87f7517f,"Stamford, CT",Just posted,Clinical Research Scientist - Oncology
107,Ball Aerospace,http://www.indeed.com/rc/clk?jk=680a23c3db688884&fccid=82c5e27e77990fa2,"Boulder, CO",Just posted,Senior Project Engineer - Systems - Launch Segment (659691) - Security clearance required
108,State of Washington,http://www.indeed.com/rc/clk?jk=b9d58d237f04afdb&fccid=4bb4a98ffe880354,"Shelton, WA",Just posted,Cook 1- Training Academy in Shelton
109,JPMorgan Chase,http://www.indeed.com/rc/clk?jk=104afb589cf98b98&fccid=c46d0116f6e69eae,"Columbus, OH",Today,Data Scientist
110,ron@technogeninc.com,http://www.indeed.com/cmp/Glomark/jobs/Data-Analytic-52f5c9345a2e1d3b?r=1&fccid=f28693180c0e29e8,"San Diego, CA",Today,Data Analytics / Scientist
111,"Rodan & Fields, LLC",http://www.indeed.com/rc/clk?jk=90665cf63e238214&fccid=9d8ace9981c9ff45,"San Francisco, CA",Today,Data Scientist - Forecasting
112,Northrop Grumman,http://www.indeed.com/rc/clk?jk=bfcabe7eb162f323&fccid=11619ce0d3c2c733,"Redondo Beach, CA 90278",Today,Data Scientist 2
113,Sandia National Laboratories,http://www.indeed.com/rc/clk?jk=7e6cfa65e7d691fe&fccid=6153cf878ee73d92,"Livermore, CA",Today,Data Scientist (Experienced)
114,AbbVie,http://www.indeed.com/rc/clk?jk=a680b46e84f94cda&fccid=a3b51ece17c02aae,"Lake County, IL",Today,Statistical Analyst
115,The Climate Corporation,http://www.indeed.com/rc/clk?jk=24ced16d07b1ab9c&fccid=5527fa86119a4ea6,"St. Louis, MO",Today,"Software Engineer, Backend"
116,Los Alamos National Laboratory,http://www.indeed.com/rc/clk?jk=51f0dce9318b8579&fccid=58c52d580682c6ce,"Los Alamos, NM",Today,Magnet Lab Tec (Research Tec 3)
117,CGI,http://www.indeed.com/rc/clk?jk=0dda288d0a4609af&fccid=d2841a5c0380b93d,"Fairfax, VA",Today,Big Data Architect/Data Scientist
118,Novel Applications of Vital Information,http://www.indeed.com/rc/clk?jk=1073f490c15f3149&fccid=6f4583dd1f2fe7a2,"Vienna, VA",Today,Research Analyst - Ven-0001
119,Tigo,http://www.indeed.com/rc/clk?jk=c824378419ee7b89&fccid=e67924639378ea18,"Miami, FL",Today,Senior Data Scientist
120,Apple,http://www.indeed.com/rc/clk?jk=9a169d36c80a9f56&fccid=c1099851e9794854,"Austin, TX",Today,Data Science Engineer
121,QuEST Global Engineering,http://www.indeed.com/rc/clk?jk=a739b5e336676486&fccid=ad3813e46e9342cd,"Windsor Locks, CT",Today,AFM-Data Analysis/Presentation
122,Parsons Corporation,http://www.indeed.com/rc/clk?jk=491f8db247de1a61&fccid=e8f998ddd15bac9c,"Aberdeen, MD",Today,Machine Learning Engineer
123,Turnaround for Children,http://www.indeed.com/rc/clk?jk=370def7e78f4e7b5&fccid=a6b3a8ef98252433,"New York, NY",Today,"Manager, Data Analysis"
124,Bristol Myers Squibb,http://www.indeed.com/rc/clk?jk=57415f3d71baf00e&fccid=45f7e11d0973ee3a,"Pennington, NJ 08534",Today,Research Scientist
125,UMetis,http://www.indeed.com/cmp/UMetis/jobs/Big-Data-Engineer-5c0c0c6e52abf0d7?r=1&fccid=e8fa90cd5a778076,"Bellevue, WA 98004 (Downtown area)",Today,Big Data Engineer
126,AbbVie,http://www.indeed.com/rc/clk?jk=de78ad1d1466db76&fccid=a3b51ece17c02aae,"Lake County, IL",Today,Senior Principal Data Scientist
127,University of Washington,http://www.indeed.com/rc/clk?jk=44232e90d0b99f3c&fccid=142783ac2edbe56b,"Seattle, WA",Today,MEDICAL LABORATORY SCIENTIST 1 OR TRAINEE
128,Texas Department of Public Safety,http://www.indeed.com/rc/clk?jk=535c07e9258a972c&fccid=7f4166c3dc243265,"Houston, TX",Today,"Forensic Scientist I-III(DNA), Houston-LES"
129,Pros.,http://www.indeed.com/rc/clk?jk=9e758ac2f1e32200&fccid=0c2f0b67e652290b,"Houston, TX",Today,Scientist I
130,BankRate.com,http://www.indeed.com/rc/clk?jk=1080e4126a9912f7&fccid=bd729cd876a2247c,"New York, NY",Today,Director of Data Science
131,Booz Allen Hamilton,http://www.indeed.com/rc/clk?jk=767606ce54a808d0&fccid=4e041af1d0af1bc8,"Columbus, GA",Today,Operations Research Analyst
132,"Omnivision Technologies, Inc",http://www.indeed.com/rc/clk?jk=e38db6813dafee59&fccid=de4044e36b322484,"Santa Clara, CA 95054",Today,Marketing Intelligence Research Analyst
133,"Illumina, Inc.",http://www.indeed.com/rc/clk?jk=d4849d2d79f1f589&fccid=8524239b088a6649,"San Diego, CA",Today,Scientist 1
134,University of Utah,http://www.indeed.com/rc/clk?jk=7534777ae5e7dce9&fccid=6328b27691d3fdc3,"Salt Lake City, UT",Today,Research Scientist
135,"CEVA Animal Health, LLC",http://www.indeed.com/rc/clk?jk=8491e4a76f6632fc&fccid=c5e21f5060ab6b60,"Kansas City, KS",Today,Scientist I
136,Progressive,http://www.indeed.com/rc/clk?jk=8f2cbd01916325a5&fccid=082e59b71e3e4fe2,"Mayfield Village, OH",Today,Data Scientist Senior
137,Georgia Tech Research Institute,http://www.indeed.com/rc/clk?jk=ae0745a413329852&fccid=db25687464a9ecf6,"Atlanta, GA 30318 (Rockdale area)",Today,Research Scientist
138,Eurofins,http://www.indeed.com/rc/clk?jk=c459521a9821bb6c&fccid=da33f48dbeb2e889,"Lexington, MA",Today,Scientist
139,Mitre Corporation,http://www.indeed.com/rc/clk?jk=b08faa54ad2493cf&fccid=fd03a1a845b02aae,"Washington, DC 20024 (South West area)",Just posted,Lead Data Scientist
140,Health Research Incorporated,http://www.indeed.com/rc/clk?jk=af3fcd497938f027&fccid=2b7eea0788483279,"Albany, NY",Today,Assistant Research Scientist
141,Vanderbilt University Medical Center,http://www.indeed.com/rc/clk?jk=77db87cd2cbb3842&fccid=9a79b8527fbd5a84,"Nashville, TN 37232",Today,Research Analyst I
142,Natera,http://www.indeed.com/rc/clk?jk=2872b47d66462542&fccid=76d4cf3f28c81122,"Austin, TX 78731",Today,QA Specialist
143,Coppell ISD,http://www.indeed.com/rc/clk?jk=cc71201637051511&fccid=d97ee8e94729ea47,"Coppell, TX 75019",Today,Coordinator of Data Systems and Program Analysis
144,State of Oregon,http://www.indeed.com/rc/clk?jk=f8dd820fb3e79441&fccid=bf10973908be1dc5,"Salem, OR",Today,Research Analyst 3 (Research Coordinator)
145,Script Care LTD,http://www.indeed.com/rc/clk?jk=8cdc0b47fe290df9&fccid=62edc571244b994e,"Beaumont, TX 77706",Today,Statistical Analyst
146,CSX,http://www.indeed.com/rc/clk?jk=75f0b199b02e5c45&fccid=ec7b63ac378f370c,"Jacksonville, FL",Today,Operations Research Scientist
147,Natera,http://www.indeed.com/rc/clk?jk=18391ba7cc4f1529&fccid=76d4cf3f28c81122,"Austin, TX 78731",Today,"Customer Care Specialist, Tier 2"
148,"Calloway & Associates, Inc.","http://www.indeed.com/cmp/Calloway-&-Associates,-Inc./jobs/Research-Protocol-Specialist-928e410f83ada16d?r=1&fccid=1b885de2392e576b","Bethesda, MD",Today,Research Protocol Specialist
149,American Diabetes Association,http://www.indeed.com/rc/clk?jk=9040c5aa9f1534fb&fccid=5ef0ad4a6de50394,"Alexandria, VA",Today,"Data Manager/Analyst, Outcomes Research"
150,BMS,http://www.indeed.com/rc/clk?jk=b2727bd1571cbbdf&fccid=3560f01758c26602,"Pennington, NJ",Today,Research Scientist
151,Kiewit Corporation,http://www.indeed.com/rc/clk?jk=ff01343a21a7b013&fccid=fd3e5b9fc7b91d7c,"Lenexa, KS",Today,Market Research Analyst
152,Institute for Defense Analyses,http://www.indeed.com/rc/clk?jk=abd5826a0bd94882&fccid=4e69f24625edd7db,"Alexandria, VA 22311 (Alexandria Wrest area)",Today,Economist
153,University of Miami,http://www.indeed.com/rc/clk?jk=e95f2b2b087c0692&fccid=ec40e650131b4ee3,"Coral Gables, FL",Today,Assistant Scientist (Miami Project to Cure Paralysis)
